URL,traffic,avg_position,keywords
https://www.designrush.com/agency/accounting/florida,7.0,2.0,3
https://www.designrush.com/agency/paid-media-pay-per-click/michigan/detroit,7.0,9.5,4
https://www.designrush.com/agency/digital-marketing/california/santa-barbara,7.0,12.0,1
https://www.designrush.com/agency/accounting/massachusetts/boston,7.0,6.0,2
https://www.designrush.com/agency/digital-marketing/nebraska,7.0,1.0,1
https://www.designrush.com/agency/accounting/california/los-angeles,7.0,8.5,2
https://www.designrush.com/agency/accounting/ohio/cleveland,7.0,5.0,2
https://www.designrush.com/agency/digital-marketing/delaware,7.0,3.0,2
https://www.designrush.com/agency/cybersecurity/tennessee/nashville,7.0,6.0,1
https://www.designrush.com/agency/call-centers/nevada/las-vegas,7.0,5.0,2
https://www.designrush.com/agency/ad-agencies/south-carolina/greenville,6.0,3.3333333333333335,3
https://www.designrush.com/agency/paid-media-pay-per-click/illinois/chicago,6.0,3.0,2
https://www.designrush.com/agency/graphic-design/new-york/new-york-city,6.0,9.0,2
https://www.designrush.com/agency/digital-strategy-agencies/california/san-diego,6.0,2.0,1
https://www.designrush.com/agency/digital-marketing/new-york,6.0,11.0,2
https://www.designrush.com/agency/creative-agencies/illinois/chicago,6.0,5.0,2
https://www.designrush.com/agency/cybersecurity/texas/dallas,6.0,4.5,2
https://www.designrush.com/agency/ad-agencies/illinois/chicago,6.0,1.3333333333333333,3
https://www.designrush.com/agency/digital-marketing/hawaii/honolulu,6.0,2.0,2
https://www.designrush.com/agency/paid-media-pay-per-click/oregon/portland,6.0,8.5,2
https://www.designrush.com/agency/ad-agencies/ohio/cleveland,5.0,16.5,2
https://www.designrush.com/agency/conversion-optimization/california/san-jose,5.0,2.0,1
https://www.designrush.com/agency/graphic-design/pennsylvania,5.0,14.0,2
https://www.designrush.com/agency/conversion-optimization/arizona,5.0,2.0,1
https://www.designrush.com/agency/digital-marketing/north-carolina/wilmington,5.0,3.0,2
https://www.designrush.com/agency/conversion-optimization/oregon/portland,5.0,1.5,2
https://www.designrush.com/agency/direct-marketing/illinois/chicago,5.0,5.0,1
https://www.designrush.com/agency/paid-media-pay-per-click/nevada/las-vegas,5.0,3.0,1
https://www.designrush.com/agency/creative-agencies/california,4.0,1.0,1
https://www.designrush.com/agency/ad-agencies/north-carolina,4.0,2.0,1
https://www.designrush.com/agency/digital-marketing/arkansas,4.0,2.5,2
https://www.designrush.com/agency/ad-agencies/arizona,4.0,6.0,2
https://www.designrush.com/agency/cybersecurity/michigan,4.0,1.0,2
https://www.designrush.com/agency/digital-marketing/illinois/naperville,4.0,1.0,1
https://www.designrush.com/agency/design-agencies/minnesota/minneapolis,4.0,4.5,2
https://www.designrush.com/agency/digital-marketing/alaska/anchorage,4.0,1.0,1
https://www.designrush.com/agency/ad-agencies/tennessee,4.0,4.0,2
https://www.designrush.com/agency/ad-agencies/california/sacramento,4.0,7.0,1
https://www.designrush.com/agency/digital-marketing/colorado,4.0,4.0,1
https://www.designrush.com/agency/cybersecurity/colorado,4.0,4.0,2
https://www.designrush.com/agency/paid-media-pay-per-click/pennsylvania/philadelphia,4.0,1.0,1
https://www.designrush.com/agency/call-centers/california,3.0,2.0,1
https://www.designrush.com/agency/graphic-design/minnesota,3.0,3.0,1
https://www.designrush.com/agency/accounting/virginia,3.0,3.0,1
https://www.designrush.com/agency/call-centers/texas,3.0,2.0,1
https://www.designrush.com/agency/ad-agencies/oregon/portland,3.0,3.0,1
https://www.designrush.com/agency/accounting/texas,3.0,1.0,1
https://www.designrush.com/agency/graphic-design/north-carolina,3.0,1.0,1
https://www.designrush.com/agency/cybersecurity/florida,3.0,2.0,1
https://www.designrush.com/agency/digital-marketing/montana,3.0,4.0,1
https://www.designrush.com/agency/outsourced-customer-support/new-york,3.0,1.0,1
https://www.designrush.com/agency/call-centers/utah,3.0,3.5,2
https://www.designrush.com/agency/ad-agencies/virginia,3.0,4.0,1
https://www.designrush.com/agency/conversion-optimization/texas/austin,3.0,2.0,1
https://www.designrush.com/agency/devops-consulting/new-york,3.0,9.0,1
https://www.designrush.com/agency/paid-media-pay-per-click/california/san-diego,3.0,4.5,2
https://www.designrush.com/agency/digital-agencies/florida,3.0,1.0,1
https://www.designrush.com/agency/digital-marketing/california/san-diego,3.0,27.0,2
https://www.designrush.com/agency/accounting/florida/tampa,3.0,4.0,2
https://www.designrush.com/agency/conversion-optimization/california/sacramento,3.0,2.0,1
https://www.designrush.com/agency/accounting/maine,3.0,2.0,1
https://www.designrush.com/agency/digital-agencies/north-carolina,3.0,1.0,1
https://www.designrush.com/agency/graphic-design/ohio/columbus,3.0,10.0,1
https://www.designrush.com/agency/paid-media-pay-per-click/tennessee/nashville,3.0,4.0,1
https://www.designrush.com/agency/paid-media-pay-per-click/california/san-francisco,3.0,2.0,1
https://www.designrush.com/agency/digital-marketing/washington/tacoma,3.0,4.0,1
https://www.designrush.com/agency/accounting/illinois,3.0,1.0,1
https://www.designrush.com/agency/ad-agencies/missouri/kansas-city,3.0,15.0,2
https://www.designrush.com/agency/paid-media-pay-per-click/washington,2.0,1.0,1
https://www.designrush.com/agency/ad-agencies/michigan,2.0,8.0,1
https://www.designrush.com/agency/digital-marketing/tennessee,2.0,1.0,1
https://www.designrush.com/agency/paid-media-pay-per-click/wisconsin,2.0,2.0,1
